shooter,season,team,conf,class,position,FTs,FTM,FTpct,Trank,shot_team,playerCode,power
samm jones,2019-20,Drake,MVC,jr,G,4,3,0.75,Drake,Drake,sajones,Non-Power
sammy itodo,2020-21,Gardner-Webb,BSth,fr,C,4,1,0.25,Gardner Webb,Gardner-Webb,saitodo,Non-Power
samson george,2018-19,Pitt,ACC,so,F/C,4,1,0.25,Pittsburgh,Pittsburgh,sageorge,Power
sawyer wright,2021-22,North Alabama,ASun,fr,C,4,3,0.75,North Alabama,North Alabama,sawright,Non-Power
scotty harris,2018-19,UCSB,BW,jr,G,4,3,0.75,UC Santa Barbara,UC Santa Barbara,scharris,Non-Power
sean good,2019-20,Lafayette,Pat,so,F,4,3,0.75,Lafayette,Lafayette,segood,Non-Power
sean lloyd,2017-18,S Illinois,MVC,jr,G,4,3,0.75,Southern Illinois,Southern Illinois,selloyd,Non-Power
seybian sims,2021-22,N Kentucky,Horz,jr,F,4,3,0.75,Northern Kentucky,Northern Kentucky,sesims,Non-Power
shawn wilson,2018-19,E Illinois,OVC,jr,G,4,1,0.25,Eastern Illinois,Eastern Illinois,shwilson,Non-Power
sheldon stevens,2020-21,Oral Roberts,Sum,jr,G,4,4,1,Oral Roberts,Oral Roberts,shstevens,Non-Power
simeon jovic,2019-20,South Dakota,Sum,fr,F,4,3,0.75,South Dakota,South Dakota,sijovic,Non-Power
simon wright,2021-22,Maryland,B10,sr,G,4,4,1,Maryland,Maryland,siwright,Power
spencer brown,2020-21,Missouri State,MVC,sr,G,4,1,0.25,Missouri St.,Missouri State,spbrown,Non-Power
spencer freedman,2018-19,Harvard,Ivy,fr,G,4,4,1,Harvard,Harvard,spfreedman,Non-Power
spencer freedman,2021-22,Harvard,Ivy,sr,G,4,2,0.5,Harvard,Harvard,spfreedman,Non-Power
spencer roberts,2021-22,N Arizona,BSky,jr,F,4,3,0.75,Northern Arizona,Northern Arizona,sproberts,Non-Power
stacey thomas,2019-20,LA Tech,CUSA,so,F,4,2,0.5,Louisiana Tech,Louisiana Tech,stthomas,Non-Power
stafford trueheart,2020-21,Hofstra,CAA,sr,F/C,4,4,1,Hofstra,Hofstra,sttrueheart,Non-Power
stephen vassor,2017-18,Old Dominion,CUSA,sr,F/C,4,4,1,Old Dominion,Old Dominion,stvassor,Non-Power
stevan krtinic,2020-21,St Francis (BKN),NEC,jr,G,4,2,0.5,St. Francis NY,St. Francis (BKN),stkrtinic,Non-Power
steven haney,2017-18,Loyola Mary,WCC,sr,G,4,2,0.5,Loyola Marymount,Loyola Marymount,sthaney,Non-Power
stevie repichowski,2017-18,Nicholls,Slnd,sr,G,4,3,0.75,Nicholls St.,Nicholls,strepichowski,Non-Power
taavi jurkatamm,2017-18,San Francisco,WCC,fr,F/C,4,1,0.25,San Francisco,San Francisco,tajurkatamm,Non-Power
tamir bynum,2018-19,UTSA,CUSA,fr,G,4,3,0.75,UTSA,UT San Antonio,tabynum,Non-Power
tanner lohaus,2017-18,Northern Iowa,MVC,fr,F/C,4,2,0.5,Northern Iowa,Northern Iowa,talohaus,Non-Power
tate pierson,2018-19,Belmont,OVC,fr,G,4,3,0.75,Belmont,Belmont,tapierson,Non-Power
teddy ochieng,2018-19,CSU Northridge,BW,fr,F,4,2,0.5,Cal St. Northridge,CSU Northridge,teochieng,Non-Power
theo hughes,2020-21,N Colorado,BSky,fr,C,4,1,0.25,Northern Colorado,Northern Colorado,thhughes,Non-Power
thomas ryan,2017-18,Yale,Ivy,jr,G,4,3,0.75,Yale,Yale,thryan,Non-Power
thomasi gilgeous-alexander,2019-20,Evansville,MVC,fr,G,4,1,0.25,Evansville,Evansville,thgilgeous,Non-Power
tim graham,2018-19,Wagner,NEC,jr,F/C,4,2,0.5,Wagner,Wagner,tigraham,Non-Power
tim waddington,2019-20,Temple,Amer,sr,F/C,4,2,0.5,Temple,Temple,tiwaddington,Non-Power
tj clifford,2018-19,W Michigan,MAC,so,F,4,2,0.5,Western Michigan,Western Michigan,tjclifford,Non-Power
tj nagy,2019-20,Wright State,Horz,fr,G,4,0,0,Wright St.,Wright State,tjnagy,Non-Power
to randriasalama,2021-22,Northeastern,CAA,fr,G,4,2,0.5,Northeastern,Northeastern,torandriasalama,Non-Power
tomas murphy,2019-20,Northeastern,CAA,jr,F,4,3,0.75,Northeastern,Northeastern,tomurphy,Non-Power
tomas verbinskis,2020-21,Lafayette,Pat,jr,F,4,2,0.5,Lafayette,Lafayette,toverbinskis,Non-Power
tony sanders,2021-22,Notre Dame,ACC,fr,G,4,3,0.75,Notre Dame,Notre Dame,tosanders,Power
tracey burnett,2017-18,Alabama A&M,SWAC,so,F/C,4,1,0.25,Alabama A&M,Alabama A&M,trburnett,Non-Power
travon bell,2017-18,Chicago State,WAC,fr,G,4,3,0.75,Chicago St.,Chicago State,trbell,Non-Power
tray hollowell,2017-18,Wofford,SC,fr,G,4,4,1,Wofford,Wofford,trhollowell,Non-Power
trejan davis,2020-21,Florida A&M,MEAC,so,G,4,2,0.5,Florida A&M,Florida A&M,trdavis,Non-Power
trendon hankerson,2018-19,N Illinois,MAC,fr,G,4,3,0.75,Northern Illinois,Northern Illinois,trhankerson,Non-Power
tres berry,2021-22,URI,A10,fr,G,4,2,0.5,Rhode Island,Rhode Island,trberry,Non-Power
treshon smoots,2021-22,N Colorado,BSky,jr,G,4,4,1,Northern Colorado,Northern Colorado,trsmoots,Non-Power
trevante anderson,2020-21,San Francisco,WCC,jr,G,4,3,0.75,San Francisco,San Francisco,tranderson,Non-Power
trevor john,2017-18,Cal Poly,BW,jr,G,4,4,1,Cal Poly,Cal Poly,trjohn,Non-Power
trevor lakes,2020-21,Nebraska,B10,sr,F,4,3,0.75,Nebraska,Nebraska,trlakes,Power
trevor stumpe,2018-19,Wofford,SC,jr,G,4,2,0.5,Wofford,Wofford,trstumpe,Non-Power
trey fort,2020-21,UT Martin,OVC,fr,G,4,2,0.5,Tennessee Martin,UT Martin,trfort,Non-Power
trey jemison,2018-19,Clemson,ACC,fr,C,4,3,0.75,Clemson,Clemson,trjemison,Power
trey lawrence,2021-22,Montana,BSky,so,F,4,1,0.25,Montana,Montana,trlawrence,Non-Power
trey wood,2020-21,Portland State,BSky,so,F,4,3,0.75,Portland St.,Portland State,trwood,Non-Power
trey woodyard,2021-22,Valparaiso,MVC,fr,G,4,2,0.5,Valparaiso,Valparaiso,trwoodyard,Non-Power
tristan maxwell,2021-22,Georgia Tech,ACC,so,G,4,2,0.5,Georgia Tech,Georgia Tech,trmaxwell,Power
tristan owens,2018-19,Radford,BSth,sr,F,4,1,0.25,Radford,Radford,trowens,Non-Power
ty chisom,2021-22,PV A&M,SWAC,sr,G,4,3,0.75,Prairie View A&M,Prairie View A&M,tychisom,Non-Power
ty jones,2020-21,Charleston So,BSth,sr,G,4,4,1,Charleston Southern,Charleston Southern,tyjones,Non-Power
ty wyman,2021-22,Oakland,Horz,fr,G,4,3,0.75,Oakland,Oakland,tywyman,Non-Power
tyler barnes,2020-21,Alabama,SEC,sr,F,4,2,0.5,Alabama,Alabama,tybarnes,Power
tyler behrendt,2018-19,Milwaukee,Horz,so,G,4,4,1,Milwaukee,Milwaukee,tybehrendt,Non-Power
tyler brumfield,2021-22,Miss St,SEC,fr,F/C,4,2,0.5,Mississippi St.,Mississippi State,tybrumfield,Power
tyler jones,2017-18,Fair Dickinson,NEC,fr,G,4,3,0.75,Fairleigh Dickinson,Fairleigh Dickinson,tyjones,Non-Power
tyler miller,2017-18,W Kentucky,CUSA,sr,G,4,0,0,Western Kentucky,Western Kentucky,tymiller,Non-Power
tyler thompson,2018-19,Tenn Tech,OVC,jr,F,4,1,0.25,Tennessee Tech,Tennessee Tech,tythompson,Non-Power
tyler witz,2020-21,North Dakota St,Sum,sr,F,4,2,0.5,North Dakota St.,North Dakota State,tywitz,Non-Power
tyrone powell,2017-18,Green Bay,Horz,fr,F/C,4,2,0.5,Green Bay,Green Bay,typowell,Non-Power
tyshaun crawford,2018-19,Ga Southern,SB,fr,C,4,2,0.5,Georgia Southern,Georgia Southern,tycrawford,Non-Power
victor hart,2021-22,FIU,CUSA,so,F,4,3,0.75,FIU,Florida International,vihart,Non-Power
vin baker,2018-19,Boston College,ACC,so,G,4,4,1,Boston College,Boston College,vibaker,Power
walker miller,2019-20,UNC,ACC,jr,F,4,3,0.75,North Carolina,North Carolina,wamiller,Power
walt mcgrory,2019-20,Wisconsin,B10,jr,G,4,3,0.75,Wisconsin,Wisconsin,wamcgrory,Power
walter jones,2018-19,Alabama A&M,SWAC,jr,G,4,3,0.75,Alabama A&M,Alabama A&M,wajones,Non-Power
wes peterson,2021-22,Delaware,CAA,fr,G,4,3,0.75,Delaware,Delaware,wepeterson,Non-Power
will gladson,2017-18,Princeton,Ivy,so,F,4,3,0.75,Princeton,Princeton,wigladson,Non-Power
will gladson,2018-19,Princeton,Ivy,jr,F,4,2,0.5,Princeton,Princeton,wigladson,Non-Power
will macoy,2017-18,Auburn,SEC,so,F/C,4,2,0.5,Auburn,Auburn,wimacoy,Power
william douglas,2020-21,SMU,Amer,jr,G,4,4,1,SMU,SMU,widouglas,Non-Power
wol maiwen,2020-21,Maine,AE,fr,G,4,3,0.75,Maine,Maine,womaiwen,Non-Power
wyatt lowell,2020-21,BYU,WCC,so,F/C,4,3,0.75,BYU,BYU,wylowell,Non-Power
wyatt wilkes,2019-20,Florida State,ACC,so,F,4,4,1,Florida St.,Florida State,wywilkes,Power
xavier cochran,2017-18,Albany,AE,so,G,4,2,0.5,Albany,Albany,xacochran,Non-Power
xavion brown,2021-22,Appalachian St,SB,so,G,4,1,0.25,Appalachian St.,Appalachian State,xabrown,Non-Power
yaradyah evans,2017-18,St Francis (BKN),NEC,fr,G,4,2,0.5,St. Francis NY,St. Francis (BKN),yaevans,Non-Power
yassine gharram,2021-22,Yale,Ivy,fr,G,4,2,0.5,Yale,Yale,yagharram,Non-Power
yusuf jihad,2020-21,Oakland,Horz,fr,F,4,2,0.5,Oakland,Oakland,yujihad,Non-Power
zac jennings,2021-22,Bellarmine,ASun,so,F/C,4,2,0.5,Bellarmine,Bellarmine,zajennings,Non-Power
zach griffith,2019-20,Illinois,B10,jr,F,4,2,0.5,Illinois,Illinois,zagriffith,Power
zach kelch,2019-20,Navy,Pat,fr,C,4,2,0.5,Navy,Navy,zakelch,Non-Power
zach lezanic,2021-22,Army,Pat,so,G,4,3,0.75,Army,Army,zalezanic,Non-Power
zach loveday,2020-21,Baylor,B12,fr,F,4,3,0.75,Baylor,Baylor,zaloveday,Power
zachary barnes,2018-19,Miss Valley St,SWAC,jr,G,4,2,0.5,Mississippi Valley St.,Mississippi Valley State,zabarnes,Non-Power
zaire mateen,2019-20,N Illinois,MAC,jr,G,4,3,0.75,Northern Illinois,Northern Illinois,zamateen,Non-Power
zan payne,2021-22,Kentucky,SEC,jr,G,4,4,1,Kentucky,Kentucky,zapayne,Power
zeke moore,2018-19,Tulsa,Amer,so,F,4,4,1,Tulsa,Tulsa,zemoore,Non-Power
zimi nwokeji,2021-22,Dayton,A10,fr,G,4,4,1,Dayton,Dayton,zinwokeji,Non-Power
zion griffin,2020-21,UIC,Horz,jr,G,4,3,0.75,Illinois Chicago,UIC,zigriffin,Non-Power
zo tyson,2018-19,Colorado State,MWC,jr,F,4,1,0.25,Colorado St.,Colorado State,zotyson,Non-Power
zoar nedd,2019-20,Hawai'i,BW,fr,G,4,2,0.5,Hawaii,Hawai'i,zonedd,Non-Power
aanen moody,2019-20,North Dakota,Sum,so,G,3,2,0.666666667,North Dakota,North Dakota,aamoody,Non-Power
aaron spivey,2017-18,Wake Forest,ACC,jr,G,3,1,0.333333333,Wake Forest,Wake Forest,aaspivey,Power
abdou tsimbila,2020-21,Penn State,B10,fr,F,3,1,0.333333333,Penn St.,Penn State,abtsimbila,Power
abu kigab,2018-19,Oregon,P12,so,F,3,2,0.666666667,Oregon,Oregon,abkigab,Power
addison wallace,2020-21,Texas State,SB,so,F/C,3,2,0.666666667,Texas St.,Texas State,adwallace,Non-Power
adida ikongshul,2017-18,W Michigan,MAC,so,F/C,3,1,0.333333333,Western Michigan,Western Michigan,adikongshul,Non-Power
adrian martin,2019-20,W Michigan,MAC,so,G,3,2,0.666666667,Western Michigan,Western Michigan,admartin,Non-Power
aj caldwell,2017-18,South Alabama,SB,fr,F/C,3,2,0.666666667,South Alabama,South Alabama,ajcaldwell,Non-Power
aj caldwell,2018-19,Chattanooga,SC,so,G,3,2,0.666666667,Chattanooga,Chattanooga,ajcaldwell,Non-Power
aj gareri,2017-18,Ohio,MAC,fr,F,3,2,0.666666667,Ohio,Ohio,ajgareri,Non-Power
aj youngman,2020-21,Idaho,BSky,jr,G,3,2,0.666666667,Idaho,Idaho,ajyoungman,Non-Power
ajani kennedy,2021-22,Cal Poly,BW,sr,F,3,1,0.333333333,Cal Poly,Cal Poly,ajkennedy,Non-Power
alec oglesby,2021-22,UNC Wilmington,CAA,so,G,3,2,0.666666667,UNC Wilmington,UNC Wilmington,aloglesby,Non-Power
alex illikainen,2017-18,Wisconsin,B10,jr,F,3,0,0,Wisconsin,Wisconsin,alillikainen,Power
alex tostado,2017-18,Maryland,B10,fr,G,3,2,0.666666667,Maryland,Maryland,altostado,Power
alpha okoli,2019-20,St Bonaventure,A10,so,F/C,3,1,0.333333333,St. Bonaventure,St. Bonaventure,alokoli,Non-Power
anand hundal,2018-19,Seattle,WAC,jr,F/C,3,1,0.333333333,Seattle,Seattle U,anhundal,Non-Power
andre charles,2019-20,Houston Baptist,Slnd,so,G,3,3,1,Houston Christian,Houston Baptist,ancharles,Non-Power
andrew sorrells,2018-19,Texas Tech,B12,jr,G,3,2,0.666666667,Texas Tech,Texas Tech,ansorrells,Power
antavion collum,2020-21,Ole Miss,SEC,so,F,3,0,0,Mississippi,Ole Miss,ancollum,Power
ante sustic,2018-19,Marshall,CUSA,jr,F/C,3,1,0.333333333,Marshall,Marshall,ansustic,Non-Power
anthony rego,2019-20,Cleveland State,Horz,fr,F,3,2,0.666666667,Cleveland St.,Cleveland State,anrego,Non-Power
antoine vernon,2019-20,Oregon State,P12,so,G,3,1,0.333333333,Oregon St.,Oregon State,anvernon,Power
anton jansson,2020-21,Saint Joe's,A10,fr,C,3,1,0.333333333,Saint Joseph's,Saint Joseph's,anjansson,Non-Power
anyeuri castillo,2019-20,Kent State,MAC,jr,G,3,2,0.666666667,Kent St.,Kent State,ancastillo,Non-Power
arne morris,2020-21,Alcorn State,SWAC,sr,G,3,1,0.333333333,Alcorn St.,Alcorn State,armorris,Non-Power
arturro bingham,2019-20,Milwaukee,Horz,so,G,3,3,1,Milwaukee,Milwaukee,arbingham,Non-Power
asa beyah,2020-21,Canisius,MAAC,fr,G,3,1,0.333333333,Canisius,Canisius,asbeyah,Non-Power
ashton smith,2019-20,Chattanooga,SC,fr,G,3,1,0.333333333,Chattanooga,Chattanooga,assmith,Non-Power
austin awad,2018-19,Winthrop,BSth,sr,F,3,3,1,Winthrop,Winthrop,auawad,Non-Power
austin brewer,2020-21,Sam Houston,Slnd,fr,C,3,0,0,Sam Houston St.,Sam Houston State,aubrewer,Non-Power
austin davis,2017-18,Michigan,B10,so,F,3,1,0.333333333,Michigan,Michigan,audavis,Power
austin davis,2018-19,Michigan,B10,jr,F,3,1,0.333333333,Michigan,Michigan,audavis,Power
austin mueller,2019-20,Wyoming,MWC,so,F,3,1,0.333333333,Wyoming,Wyoming,aumueller,Non-Power
austin williams,2018-19,Yale,Ivy,jr,F,3,1,0.333333333,Yale,Yale,auwilliams,Non-Power
avery diggs,2020-21,UCF,Amer,sr,F/C,3,2,0.666666667,UCF,UCF,avdiggs,Non-Power
bailey conrad,2021-22,W Kentucky,CUSA,so,F/C,3,1,0.333333333,Western Kentucky,Western Kentucky,baconrad,Non-Power
bailey walker,2017-18,Northwestern St,Slnd,jr,F/C,3,1,0.333333333,Northwestern St.,Northwestern State,bawalker,Non-Power
ben callahan-gold,2020-21,Tulane,Amer,fr,G,3,3,1,Tulane,Tulane,becallahan,Non-Power
ben gregg,2020-21,Gonzaga,WCC,fr,F/C,3,1,0.333333333,Gonzaga,Gonzaga,begregg,Non-Power
ben nau,2021-22,St. Thomas - Minnesota,Sum,fr,G,3,2,0.666666667,St. Thomas,St. Thomas - Minnesota,benau,Non-Power
bill awet,2018-19,SIUE,OVC,so,F,3,2,0.666666667,SIU Edwardsville,SIU Edwardsville,biawet,Non-Power
billy phenicie,2018-19,Campbell,BSth,so,G,3,3,1,Campbell,Campbell,biphenicie,Non-Power
bobby harvey,2021-22,IUPUI,Horz,sr,G,3,2,0.666666667,IUPUI,IUPUI,boharvey,Non-Power
braden may,2021-22,Morehead State,OVC,fr,G,3,0,0,Morehead St.,Morehead State,brmay,Non-Power
bradley alcime,2020-21,Tulsa,Amer,fr,G,3,2,0.666666667,Tulsa,Tulsa,bralcime,Non-Power
brady ernst,2019-20,Drake,MVC,sr,F,3,2,0.666666667,Drake,Drake,brernst,Non-Power
brandon angel,2020-21,Stanford,P12,fr,F,3,3,1,Stanford,Stanford,brangel,Power
brandon battle,2021-22,UIC,Horz,sr,F,3,1,0.333333333,Illinois Chicago,UIC,brbattle,Non-Power
brandon bradsher,2018-19,Loyola (MD),Pat,so,G,3,3,1,Loyola MD,Loyola (MD),brbradsher,Non-Power
brandon danowski,2017-18,N Illinois,MAC,fr,G,3,2,0.666666667,Northern Illinois,Northern Illinois,brdanowski,Non-Power
brandon younger,2019-20,Charlotte,CUSA,so,F/C,3,1,0.333333333,Charlotte,Charlotte,bryounger,Non-Power
brendan thiele,2019-20,Army,Pat,so,F,3,1,0.333333333,Army,Army,brthiele,Non-Power
brendan thiele,2021-22,Army,Pat,sr,F,3,2,0.666666667,Army,Army,brthiele,Non-Power
brent jenkins,2020-21,UNC Wilmington,CAA,jr,G,3,2,0.666666667,UNC Wilmington,UNC Wilmington,brjenkins,Non-Power
brett rau,2017-18,Missouri,SEC,sr,G,3,1,0.333333333,Missouri,Missouri,brrau,Power
brian thomas,2020-21,Grambling,SWAC,sr,F,3,1,0.333333333,Grambling St.,Grambling,brthomas,Non-Power
brian washington,2021-22,CSU Bakersfield,BW,so,F/C,3,1,0.333333333,Cal St. Bakersfield,CSU Bakersfield,brwashington,Non-Power
brock wakefield,2021-22,The Citadel,SC,fr,G,3,1,0.333333333,The Citadel,The Citadel,brwakefield,Non-Power
bryan penn-johnson,2019-20,Washington,P12,fr,C,3,3,1,Washington,Washington,brpenn,Power
bryce earle,2021-22,Hampton,BSth,so,G,3,3,1,Hampton,Hampton,brearle,Non-Power
bryce laskey,2019-20,St Francis (PA),NEC,fr,G,3,3,1,St. Francis PA,St. Francis (PA),brlaskey,Non-Power
bryson childress,2020-21,High Point,BSth,fr,G,3,1,0.333333333,High Point,High Point,brchildress,Non-Power
byron brown,2021-22,Air Force,MWC,fr,F/C,3,1,0.333333333,Air Force,Air Force,bybrown,Non-Power
caleb christopher,2021-22,Tenn Tech,OVC,so,G,3,2,0.666666667,Tennessee Tech,Tennessee Tech,cachristopher,Non-Power
caleb ellis,2018-19,UNC,ACC,jr,G,3,1,0.333333333,North Carolina,North Carolina,caellis,Power
caleb golden,2020-21,Tarleton,WAC,fr,G,3,3,1,Tarleton St.,Tarleton,cagolden,Non-Power
cameron benford,2017-18,Fort Wayne,Sum,fr,F,3,1,0.333333333,Fort Wayne,Purdue Fort Wayne,cabenford,Non-Power
cameron posey,2019-20,AR-Pine Bluff,SWAC,jr,G,3,0,0,Arkansas Pine Bluff,Arkansas-Pine Bluff,caposey,Non-Power
carter murphy,2021-22,Air Force,MWC,jr,G,3,2,0.666666667,Air Force,Air Force,camurphy,Non-Power
carter sobera,2021-22,Auburn,SEC,so,G,3,1,0.333333333,Auburn,Auburn,casobera,Power
cedric wright,2017-18,Morehead State,OVC,so,F/C,3,1,0.333333333,Morehead St.,Morehead State,cewright,Non-Power
chandler turner,2019-20,Bowling Green,MAC,fr,F,3,2,0.666666667,Bowling Green,Bowling Green,chturner,Non-Power
charles taylor,2017-18,Jackson State,SWAC,jr,G,3,2,0.666666667,Jackson St.,Jackson State,chtaylor,Non-Power
charlie hall,2017-18,Northwestern,B10,jr,F/C,3,1,0.333333333,Northwestern,Northwestern,chhall,Power
chase martin,2021-22,Purdue,B10,so,G,3,0,0,Purdue,Purdue,chmartin,Power
chauncey sterling,2021-22,NJIT,AE,jr,F/C,3,0,0,NJIT,NJIT,chsterling,Non-Power
chaz lanier,2020-21,North Florida,ASun,fr,G,3,2,0.666666667,North Florida,North Florida,chlanier,Non-Power
chisom obidike,2017-18,FAU,CUSA,fr,C,3,1,0.333333333,Florida Atlantic,Florida Atlantic,chobidike,Non-Power
chris freeman,2021-22,Jackson State,SWAC,sr,F,3,2,0.666666667,Jackson St.,Jackson State,chfreeman,Non-Power
chris payton,2021-22,Pitt,ACC,jr,F/C,3,1,0.333333333,Pittsburgh,Pittsburgh,chpayton,Power
chris williams,2017-18,Cent Conn St,NEC,so,F,3,3,1,Central Connecticut,Central Connecticut,chwilliams,Non-Power
christian cevis,2021-22,Fairfield,MAAC,fr,G,3,1,0.333333333,Fairfield,Fairfield,chcevis,Non-Power
christian jones,2021-22,Navy,Pat,jr,F/C,3,1,0.333333333,Navy,Navy,chjones,Non-Power
clay weatherspoon,2017-18,Southern Miss,CUSA,so,F/C,3,2,0.666666667,Southern Miss,Southern Miss,clweatherspoon,Non-Power
colby leifson,2020-21,Utah Valley,WAC,so,G,3,2,0.666666667,Utah Valley,Utah Valley,coleifson,Non-Power
coltie young,2021-22,Jackson State,SWAC,fr,G,3,1,0.333333333,Jackson St.,Jackson State,coyoung,Non-Power
conner george,2018-19,Michigan State,B10,jr,G,3,2,0.666666667,Michigan St.,Michigan State,cogeorge,Power
connor bennett,2018-19,UMass Lowell,AE,jr,F,3,0,0,UMass Lowell,UMass Lowell,cobennett,Non-Power
connor braun,2021-22,Northeastern,CAA,so,F,3,1,0.333333333,Northeastern,Northeastern,cobraun,Non-Power
connor gholson,2020-21,Drake,MVC,jr,F/C,3,3,1,Drake,Drake,cogholson,Non-Power
corey romich,2017-18,Jacksonville,ASun,fr,G,3,2,0.666666667,Jacksonville,Jacksonville,coromich,Non-Power
dan henry,2018-19,St Francis (PA),NEC,so,F/C,3,2,0.666666667,St. Francis PA,St. Francis (PA),dahenry,Non-Power
dandre johnson,2017-18,NC A&T,MEAC,fr,F/C,3,1,0.333333333,North Carolina A&T,North Carolina A&T,dajohnson,Non-Power
dante gonzales,2020-21,UT Martin,OVC,so,G,3,1,0.333333333,Tennessee Martin,UT Martin,dagonzales,Non-Power
dante wilcox,2019-20,FIU,CUSA,fr,F/C,3,1,0.333333333,FIU,Florida International,dawilcox,Non-Power
darien jackson,2017-18,Tulsa,Amer,fr,G,3,0,0,Tulsa,Tulsa,dajackson,Non-Power
darius ervin,2021-22,Cornell,Ivy,so,G,3,2,0.666666667,Cornell,Cornell,daervin,Non-Power
darius henderson,2019-20,UMass Lowell,AE,so,F/C,3,2,0.666666667,UMass Lowell,UMass Lowell,dahenderson,Non-Power
darius henderson,2020-21,Montana,BSky,jr,F,3,1,0.333333333,Montana,Montana,dahenderson,Non-Power
darus maddox,2019-20,NC A&T,MEAC,jr,G,3,2,0.666666667,North Carolina A&T,North Carolina A&T,damaddox,Non-Power
davante robinson,2021-22,Stetson,ASun,jr,G,3,3,1,Stetson,Stetson,darobinson,Non-Power
dave kasanganay,2019-20,Navy,Pat,so,G,3,3,1,Navy,Navy,dakasanganay,Non-Power
david appelgren,2021-22,Wofford,SC,sr,C,3,1,0.333333333,Wofford,Wofford,daappelgren,Non-Power
david erebor,2017-18,Brown,Ivy,so,F,3,2,0.666666667,Brown,Brown,daerebor,Non-Power
david nzekwesi,2020-21,Weber State,BSky,jr,F/C,3,2,0.666666667,Weber St.,Weber State,danzekwesi,Non-Power
dean noll,2018-19,Cornell,Ivy,fr,G,3,2,0.666666667,Cornell,Cornell,denoll,Non-Power
demarion bariffe-smith,2020-21,Jackson State,SWAC,jr,F,3,1,0.333333333,Jackson St.,Jackson State,debariffe,Non-Power
demiere brown,2020-21,SF Austin,Slnd,jr,F/C,3,2,0.666666667,Stephen F. Austin,Stephen F. Austin,debrown,Non-Power
demonte ojinnaka,2017-18,Indiana State,MVC,sr,G,3,2,0.666666667,Indiana St.,Indiana State,deojinnaka,Non-Power
denzel tchougang,2020-21,Siena,MAAC,sr,F,3,2,0.666666667,Siena,Siena,detchougang,Non-Power
derek ballard,2019-20,E Michigan,MAC,so,F/C,3,2,0.666666667,Eastern Michigan,Eastern Michigan,deballard,Non-Power
devin butts,2020-21,Louisiana,SB,so,G,3,2,0.666666667,Louisiana Lafayette,Louisiana,debutts,Non-Power
devin cole,2019-20,UC Irvine,BW,fr,G,3,0,0,UC Irvine,UC Irvine,decole,Non-Power
devon mccain,2020-21,Austin Peay,OVC,fr,G,3,2,0.666666667,Austin Peay,Austin Peay,demccain,Non-Power
devyn wilson,2017-18,Portland State,BSky,jr,G,3,3,1,Portland St.,Portland State,dewilson,Non-Power
dexter gooding,2018-19,High Point,BSth,sr,G,3,3,1,High Point,High Point,degooding,Non-Power
diego willis,2018-19,NJIT,ASun,fr,G,3,1,0.333333333,NJIT,NJIT,diwillis,Non-Power
dimitar pandev,2020-21,IUPUI,Horz,jr,F,3,1,0.333333333,IUPUI,IUPUI,dipandev,Non-Power
divonte lumpkin,2017-18,Texas Southern,SWAC,jr,G,3,1,0.333333333,Texas Southern,Texas Southern,dilumpkin,Non-Power
dj johnson,2021-22,Kent State,MAC,jr,F/C,3,1,0.333333333,Kent St.,Kent State,djjohnson,Non-Power
dj kelley,2020-21,Sam Houston,Slnd,fr,G,3,3,1,Sam Houston St.,Sam Houston State,djkelley,Non-Power
dmarco dunn,2021-22,UNC,ACC,fr,G,3,1,0.333333333,North Carolina,North Carolina,dmdunn,Power
domantas sakickas,2020-21,Coppin State,MEAC,jr,G,3,2,0.666666667,Coppin St.,Coppin State,dosakickas,Non-Power
dominick pickett,2017-18,UC Riverside,BW,fr,G,3,2,0.666666667,UC Riverside,UC Riverside,dopickett,Non-Power
donnie lewis,2018-19,SE Missouri St,OVC,sr,G,3,1,0.333333333,Southeast Missouri St.,Southeast Missouri State,dolewis,Non-Power
donnie malone,2019-20,Tennessee St,OVC,jr,G,3,1,0.333333333,Tennessee St.,Tennessee State,domalone,Non-Power
donovan walker,2017-18,UL Monroe,SB,jr,G,3,2,0.666666667,Louisiana Monroe,Ul Monroe,dowalker,Non-Power
dontavious smith,2017-18,UMass Lowell,AE,jr,F,3,1,0.333333333,UMass Lowell,UMass Lowell,dosmith,Non-Power
dreshaun doyne,2021-22,AR-Pine Bluff,SWAC,fr,F/C,3,1,0.333333333,Arkansas Pine Bluff,Arkansas-Pine Bluff,drdoyne,Non-Power
duncan demuth,2020-21,Vermont,AE,jr,F,3,1,0.333333333,Vermont,Vermont,dudemuth,Non-Power
durey cadwell,2021-22,Louisiana,SB,so,G,3,2,0.666666667,Louisiana Lafayette,Louisiana,ducadwell,Non-Power
dwayne morgan,2018-19,Southern Utah,BSky,sr,F,3,2,0.666666667,Southern Utah,Southern Utah,dwmorgan,Non-Power
ed porter,2018-19,Lehigh,Pat,jr,F/C,3,3,1,Lehigh,Lehigh,edporter,Non-Power
eddie holland,2021-22,Penn,Ivy,fr,G,3,2,0.666666667,Penn,Pennsylvania,edholland,Non-Power
elijah bridgers,2020-21,Missouri State,MVC,fr,G,3,1,0.333333333,Missouri St.,Missouri State,elbridgers,Non-Power
elijah graves,2018-19,Southern Utah,BSky,sr,G,3,1,0.333333333,Southern Utah,Southern Utah,elgraves,Non-Power
